"Date","Open","High","Low","Close","Volume"
"Feb 26, 2013","2,916.00","2,969.40","2,916.00","2,969.00","1,521,693"
"Feb 25, 2013","2,870.00","2,922.00","2,867.60","2,919.70","1,307,206"
"Feb 22, 2013","2,798.70","2,855.00","2,797.10","2,839.00","1,087,942"
"Feb 21, 2013","2,801.60","2,819.90","2,793.15","2,801.25","694,843"
"Feb 20, 2013","2,825.25","2,832.35","2,808.50","2,819.05","693,153"
"Feb 19, 2013","2,780.10","2,825.00","2,767.05","2,821.00","580,418"
"Feb 18, 2013","2,783.00","2,786.70","2,763.00","2,780.00","344,348"
"Feb 15, 2013","2,790.00","2,808.50","2,776.30","2,779.30","649,282"
"Feb 14, 2013","2,794.40","2,828.00","2,794.35","2,810.00","861,750"
"Feb 13, 2013","2,757.00","2,797.15","2,745.00","2,783.00","790,361"
"Feb 12, 2013","2,770.00","2,774.10","2,741.75","2,756.55","555,299"
"Feb 11, 2013","2,801.25","2,814.95","2,784.90","2,790.50","924,349"
"Feb 8, 2013","2,783.15","2,816.70","2,772.25","2,786.00","685,337"
"Feb 7, 2013","2,786.00","2,799.00","2,780.05","2,785.00","1,338,059"
"Feb 6, 2013","2,775.25","2,788.05","2,755.85","2,784.55","1,137,168"
"Feb 5, 2013","2,763.25","2,782.35","2,745.55","2,750.75","770,764"
"Feb 4, 2013","2,781.00","2,790.00","2,745.00","2,770.00","937,502"
"Feb 1, 2013","2,791.10","2,801.90","2,752.00","2,768.05","987,456"
"Jan 31, 2013","2,792.00","2,807.10","2,770.00","2,790.00","2,185,055"
"Jan 30, 2013","2,804.75","2,805.95","2,780.55","2,793.00","850,691"
"Jan 29, 2013","2,806.00","2,825.00","2,788.55","2,795.00","774,648"
"Jan 28, 2013","2,812.00","2,827.60","2,801.00","2,809.95","840,376"
"Jan 25, 2013","2,810.00","2,828.00","2,791.15","2,824.00","1,055,317"
"Jan 24, 2013","2,810.00","2,828.00","2,790.75","2,794.00","1,401,412"
"Jan 23, 2013","2,781.00","2,798.00","2,781.00","2,789.00","932,339"
"Jan 22, 2013","2,793.60","2,798.65","2,777.00","2,787.75","638,785"
"Jan 21, 2013","2,763.05","2,810.60","2,763.05","2,800.00","737,445"
"Jan 18, 2013","2,805.00","2,810.00","2,777.45","2,788.00","911,324"
"Jan 17, 2013","2,792.00","2,806.65","2,779.20","2,793.90","1,470,884"
"Jan 16, 2013","2,781.00","2,788.80","2,755.50","2,767.45","1,457,603"
"Jan 15, 2013","2,806.00","2,809.45","2,774.50","2,789.50","2,547,235"
"Jan 14, 2013","2,759.80","2,836.95","2,752.25","2,810.00","6,365,595"
"Jan 11, 2013","2,521.00","2,722.00","2,521.00","2,718.00","11,606,571"
"Jan 10, 2013","2,331.00","2,342.65","2,309.20","2,326.20","1,362,627"
"Jan 9, 2013","2,340.20","2,361.80","2,323.30","2,330.10","768,746"
"Jan 8, 2013","2,365.00","2,367.95","2,323.50","2,344.90","1,608,428"
"Jan 7, 2013","2,351.10","2,379.90","2,335.55","2,373.30","1,095,203"
"Jan 4, 2013","2,348.40","2,354.95","2,332.00","2,350.00","1,056,751"
"Jan 3, 2013","2,315.00","2,348.85","2,311.00","2,346.95","1,324,911"
"Jan 2, 2013","2,316.20","2,328.00","2,303.50","2,309.20","543,743"
